NO TES,EMAIL,NAMA,PRODI,SKOR,REKOMENDASI,HASIL
TES-AKD-2026-06991,aisyahokta168@gmail.com,Aisyah Oktaviani,TEKNIK ELEKTRO,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-06998,wawanuwais439@yahoo.com,Wawan Uwais,TEKNIK SIPIL,25,DISARANKAN,LOLOS
TES-AKD-2026-07001,jaemansamo15@yahoo.com,Jaeman Samosir,HUKUM,28,DISARANKAN,LOLOS
TES-AKD-2026-07002,vanyanasyi434@outlook.com,Vanya Nasyiah,KOMUNIKASI,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07004,fitriawija599@outlook.com,Fitria Wijayanti,MANAJEMEN,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07008,ratnamanda28@outlook.com,Ratna Mandasari,MANAJEMEN BISNIS,9,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-07014,rafiutama603@yahoo.com,Rafi Utama,ADMINISTRASI BISNIS,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07015,syahriniha128@gmail.com,Syahrini Hariyah,TEKNIK ELEKTRO,11,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-07018,gangsardon323@yahoo.com,Gangsar Dongoran,MANAJEMEN,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07027,kasusrahid162@pln.co.id,Kasusra Hidayanto,TEKNIK INDUSTRI,24,DISARANKAN,LOLOS
TES-AKD-2026-07033,yunisafitr668@outlook.com,Yuni Safitri,KESELAMATAN DAN KESEHATAN KERJA,11,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-07035,nilamlesta802@yahoo.com,Nilam Lestari,SAFETY ENGINEERING,27,DISARANKAN,LOLOS
TES-AKD-2026-07036,diahlaksmi161@outlook.com,Diah Laksmiwati,DATA SCIENCE,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07038,mulyonosih91@outlook.com,Mulyono Sihotang,ELEKTRONIKA DAN INSTRUMENTASI,24,DISARANKAN,LOLOS
TES-AKD-2026-07040,pangeranla120@pln.co.id,Pangeran Lazuardi,TEKNIK PERTAMBANGAN,21,DISARANKAN,LOLOS
TES-AKD-2026-07042,hartanahut878@pln.co.id,Hartana Hutagalung,TEKNIK KIMIA,27,DISARANKAN,LOLOS
TES-AKD-2026-07060,marsitomar216@pln.co.id,Marsito Maryadi,MANAJEMEN PEMASARAN,22,DISARANKAN,LOLOS
TES-AKD-2026-07062,akarsanama993@pln.co.id,Akarsana Mangunsong,MATEMATIKA,14,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-07065,amaliaandr433@yahoo.com,Amalia Andriani,MANAJEMEN ASET,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07071,vickyhastu355@yahoo.com,Vicky Hastuti,PUBLIC POLICY,27,DISARANKAN,LOLOS
TES-AKD-2026-07072,daliminpra648@yahoo.com,Dalimin Prayoga,SAFETY ENGINEERING,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07073,sucimulyan872@yahoo.com,Suci Mulyani,TEKNIK KIMIA,28,DISARANKAN,LOLOS
TES-AKD-2026-07075,kasiyahokt596@outlook.com,Kasiyah Oktaviani,MANAJEMEN ASET,30,DISARANKAN,LOLOS
TES-AKD-2026-07086,bagyasitor253@yahoo.com,Bagya Sitorus,KESELAMATAN DAN KESEHATAN KERJA,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07089,irfanirawa411@outlook.com,Irfan Irawan,ADMINISTRASI BISNIS,22,DISARANKAN,LOLOS
TES-AKD-2026-07091,kalapradip875@gmail.com,Kala Pradipta,SUPPLY CHAIN MANAGEMENT,24,DISARANKAN,LOLOS
TES-AKD-2026-07094,tasdiksima856@yahoo.com,Tasdik Simanjuntak,PROGRAM STUDI LAINNYA NON TEKNIK,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07096,upikpraset88@outlook.com,Upik Prasetya,MANAJEMEN,15,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-07097,emansapton946@yahoo.com,Eman Saptono,AKUNTANSI,12,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-07102,yessiyulia701@yahoo.com,Yessi Yulianti,DIGITAL MARKETING DAN ANALYTICS,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07107,kalasihomb59@outlook.com,Kala Sihombing,ADMINISTRASI BISNIS,14,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-07108,entengsire475@gmail.com,Enteng Siregar,TEKNIK SIPIL,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07110,novaagusti461@pln.co.id,Nova Agustina,ENERGI BARU TERBARUKAN,14,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-07111,niyagamega483@outlook.com,Niyaga Megantara,TEKNIK LINGKUNGAN,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07112,nilamrahim931@outlook.com,Nilam Rahimah,TEKNIK KIMIA,15,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-07113,keziafujia350@yahoo.com,Kezia Fujiati,AKUNTANSI,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07114,elirahimah252@outlook.com,Eli Rahimah,MANAJEMEN BISNIS,21,DISARANKAN,LOLOS
TES-AKD-2026-07120,hasansaput715@yahoo.com,Hasan Saputra,MANAJEMEN RISIKO,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07121,bakidinhar194@gmail.com,Bakidin Haryanto,TEKNIK MESIN,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07126,kaniausada97@pln.co.id,Kania Usada,MANAJEMEN PROYEK,14,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-07129,saadatjail715@yahoo.com,Saadat Jailani,MANAJEMEN INVESTASI BANK,22,DISARANKAN,LOLOS
TES-AKD-2026-07132,hildawulan945@yahoo.com,Hilda Wulandari,HUKUM,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07134,hasnawulan318@pln.co.id,Hasna Wulandari,TEKNIK MATERIAL,26,DISARANKAN,LOLOS
TES-AKD-2026-07137,drajatdong980@pln.co.id,Drajat Dongoran,TEKNIK ELEKTRO,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07138,halimahasa142@yahoo.com,Halima Hasanah,MANAJEMEN,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07144,hadidabukk100@yahoo.com,Hadi Dabukke,MANAJEMEN PROYEK,23,DISARANKAN,LOLOS
TES-AKD-2026-07146,tiarafarid404@gmail.com,Tiara Farida,ENERGI BARU TERBARUKAN,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07148,bambangper734@outlook.com,Bambang Permadi,TEKNIK BIOENERGI,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07152,irianahast576@pln.co.id,Iriana Hastuti,MANAJEMEN,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07156,kartikazul662@pln.co.id,Kartika Zulaika,SAFETY ENGINEERING,24,DISARANKAN,LOLOS
TES-AKD-2026-07158,digdayanat750@pln.co.id,Digdaya Natsir,TEKNIK PERTAMBANGAN,26,DISARANKAN,LOLOS
TES-AKD-2026-07173,jaswadihal379@gmail.com,Jaswadi Halim,KOMUNIKASI,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07174,ratnawinar597@pln.co.id,Ratna Winarsih,DIGITAL MARKETING DAN ANALYTICS,11,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-07175,zulfalaila812@yahoo.com,Zulfa Lailasari,DATA SCIENCE,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07176,febihariya121@pln.co.id,Febi Hariyah,MANAJEMEN KEUANGAN,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07184,zamiranasy390@yahoo.com,Zamira Nasyiah,KOMUNIKASI,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07189,taswirutam263@yahoo.com,Taswir Utama,DATA SCIENCE,23,DISARANKAN,LOLOS
TES-AKD-2026-07192,ajengyunia454@gmail.com,Ajeng Yuniar,ADMINISTRASI BISNIS,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07195,darimindam494@pln.co.id,Darimin Damanik,ENERGI BARU TERBARUKAN,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07198,keisharaha117@outlook.com,Keisha Rahayu,TEKNIK SIPIL,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07201,humairakus930@yahoo.com,Humaira Kusmawati,TEKNIK SIPIL,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07207,timbulsito722@outlook.com,Timbul Sitompul,ELEKTRONIKA DAN INSTRUMENTASI,21,DISARANKAN,LOLOS
TES-AKD-2026-07210,perkasapra745@pln.co.id,Perkasa Prabowo,ELEKTRONIKA DAN INSTRUMENTASI,23,DISARANKAN,LOLOS
TES-AKD-2026-07214,wahyumarpa516@outlook.com,Wahyu Marpaung,TEKNIK KIMIA,21,DISARANKAN,LOLOS
TES-AKD-2026-07218,jagahardia276@outlook.com,Jaga Hardiansyah,TEKNIK KIMIA,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07223,cagerprasa633@yahoo.com,Cager Prasasta,TEKNIK LINGKUNGAN,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07224,zahrahastu905@gmail.com,Zahra Hastuti,TEKNIK SIPIL,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07227,padmarahim387@gmail.com,Padma Rahimah,SUPPLY CHAIN MANAGEMENT,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07229,banawasima448@gmail.com,Banawa Simanjuntak,ADMINISTRASI BISNIS,21,DISARANKAN,LOLOS
TES-AKD-2026-07232,raisayolan522@outlook.com,Raisa Yolanda,TEKNIK INDUSTRI,28,DISARANKAN,LOLOS
TES-AKD-2026-07235,jessicaokt688@pln.co.id,Jessica Oktaviani,TEKNIK KIMIA,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07241,drajatsito165@outlook.com,Drajat Sitorus,TEKNIK MATERIAL,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07242,carlaastut874@outlook.com,Carla Astuti,TEKNIK BIOENERGI,23,DISARANKAN,LOLOS
TES-AKD-2026-07245,samsulsury900@outlook.com,Samsul Suryono,ENERGI BARU TERBARUKAN,24,DISARANKAN,LOLOS
TES-AKD-2026-07246,jindraprak175@yahoo.com,Jindra Prakasa,MANAJEMEN INVESTASI BANK,21,DISARANKAN,LOLOS
TES-AKD-2026-07247,digdayatar710@outlook.com,Digdaya Tarihoran,TEKNIK BIOENERGI,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07253,mariafarid46@outlook.com,Maria Farida,KOMUNIKASI,21,DISARANKAN,LOLOS
TES-AKD-2026-07254,gamantomah977@outlook.com,Gamanto Maheswara,KESELAMATAN DAN KESEHATAN KERJA,11,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-07259,betaniafar636@outlook.com,Betania Farida,TEKNIK KIMIA,25,DISARANKAN,LOLOS
TES-AKD-2026-07260,humairayol997@gmail.com,Humaira Yolanda,MANAJEMEN PROYEK,10,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-07262,wagemandal517@yahoo.com,Wage Mandala,TEKNIK MESIN,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07269,parmanmahe403@outlook.com,Parman Mahendra,TEKNIK BIOENERGI,27,DISARANKAN,LOLOS
TES-AKD-2026-07271,onilaksita907@yahoo.com,Oni Laksita,KONVERSI ENERGI,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07272,wardayafir688@pln.co.id,Wardaya Firgantoro,TEKNIK INFORMATIKA,23,DISARANKAN,LOLOS
TES-AKD-2026-07277,darmansapt183@gmail.com,Darman Saptono,AKUNTANSI,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07278,artawanwal282@gmail.com,Artawan Waluyo,TEKNIK ELEKTRO,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07280,candrarama242@pln.co.id,Candra Ramadan,MANAJEMEN PEMASARAN,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07283,mayamelani293@outlook.com,Maya Melani,ADMINISTRASI BISNIS,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07288,rafiwibowo348@pln.co.id,Rafi Wibowo,MANAJEMEN BISNIS,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07291,febiwuland165@outlook.com,Febi Wulandari,TEKNIK ELEKTRO,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07296,opungfirma124@yahoo.com,Opung Firmansyah,PROGRAM STUDI LAINNYA NON TEKNIK,21,DISARANKAN,LOLOS
TES-AKD-2026-07300,embuhsapto514@gmail.com,Embuh Saptono,MANAJEMEN KEUANGAN,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07303,gandasanto743@gmail.com,Ganda Santoso,TEKNIK KIMIA,22,DISARANKAN,LOLOS
TES-AKD-2026-07305,puputaryan325@gmail.com,Puput Aryani,MANAJEMEN BISNIS,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07306,mulyakusum511@pln.co.id,Mulya Kusumo,SUPPLY CHAIN MANAGEMENT,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07307,harsayasae316@yahoo.com,Harsaya Saefullah,TEKNIK MESIN,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07310,jokohutape148@gmail.com,Joko Hutapea,MANAJEMEN PROYEK,24,DISARANKAN,LOLOS
TES-AKD-2026-07312,padmahassa458@gmail.com,Padma Hassanah,PSIKOLOGI,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07316,restupudji671@outlook.com,Restu Pudjiastuti,MANAJEMEN ASET,13,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-07317,lulutmegan113@pln.co.id,Lulut Megantara,HUKUM,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07326,kuncarapra103@yahoo.com,Kuncara Pranowo,TEKNIK LISTRIK,14,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-07330,balijanmah253@pln.co.id,Balijan Maheswara,MANAJEMEN PROYEK,21,DISARANKAN,LOLOS
TES-AKD-2026-07338,jailsihomb535@outlook.com,Jail Sihombing,DATA SCIENCE,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07343,hestipurwa473@yahoo.com,Hesti Purwanti,TEKNIK MESIN,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07345,daliminmus209@outlook.com,Dalimin Mustofa,TEKNIK GEODESI,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07347,cawukmaula636@outlook.com,Cawuk Maulana,AKUNTANSI,10,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-07357,martanajan284@outlook.com,Martana Januar,KONVERSI ENERGI,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07359,baktiantos725@gmail.com,Baktianto Saefullah,PSIKOLOGI,25,DISARANKAN,LOLOS
TES-AKD-2026-07361,wulanriyan578@yahoo.com,Wulan Riyanti,TEKNIK PERTAMBANGAN,15,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-07371,mumpuninai331@yahoo.com,Mumpuni Nainggolan,KEUANGAN,28,DISARANKAN,LOLOS
TES-AKD-2026-07373,darmajiuta798@yahoo.com,Darmaji Utama,TEKNIK KIMIA,12,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-07374,rinayuniar464@outlook.com,Rina Yuniar,TEKNIK KIMIA,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07378,karnahalim219@yahoo.com,Karna Halim,TEKNIK LINGKUNGAN,12,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-07391,danuwahyud767@gmail.com,Danu Wahyudin,TEKNIK ELEKTRO,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07399,aminasyiah127@yahoo.com,Ami Nasyiah,AKUNTANSI,27,DISARANKAN,LOLOS
TES-AKD-2026-07412,kandasapto376@outlook.com,Kanda Saptono,PROGRAM STUDI LAINNYA TEKNIK,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07419,sakurakusm18@yahoo.com,Sakura Kusmawati,DATA SCIENCE,14,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-07429,ciaobellam204@yahoo.com,Ciaobella Mulyani,AKUNTANSI,29,DISARANKAN,LOLOS
TES-AKD-2026-07434,caketsimbo262@outlook.com,Caket Simbolon,MANAJEMEN BISNIS,21,DISARANKAN,LOLOS
TES-AKD-2026-07437,victoriapr506@gmail.com,Victoria Pratiwi,MANAJEMEN BISNIS,10,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-07438,ilsasusant581@pln.co.id,Ilsa Susanti,DATA SCIENCE,22,DISARANKAN,LOLOS
TES-AKD-2026-07439,verayulian835@gmail.com,Vera Yulianti,MANAJEMEN RISIKO,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07441,jagapatima16@yahoo.com,Jagapati Maulana,PUBLIC POLICY,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07444,argononain68@gmail.com,Argono Nainggolan,TEKNIK KIMIA,22,DISARANKAN,LOLOS
TES-AKD-2026-07457,candrakant15@yahoo.com,Candrakanta Prasetya,MANAJEMEN PEMASARAN,22,DISARANKAN,LOLOS
TES-AKD-2026-07465,murtiprata340@gmail.com,Murti Pratama,MANAJEMEN KEUANGAN,23,DISARANKAN,LOLOS
TES-AKD-2026-07472,cahyonosam937@outlook.com,Cahyono Samosir,MANAJEMEN PROYEK,24,DISARANKAN,LOLOS
TES-AKD-2026-07482,kamilamand332@outlook.com,Kamila Mandasari,TEKNIK LISTRIK,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07485,bahuraksai270@outlook.com,Bahuraksa Irawan,SUPPLY CHAIN MANAGEMENT,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07490,belindahas100@outlook.com,Belinda Hastuti,HUKUM,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07493,balanggana287@outlook.com,Balangga Natsir,TEKNIK INFORMATIKA,15,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-07496,faizahmary590@outlook.com,Faizah Maryati,SUPPLY CHAIN MANAGEMENT,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07500,gangsarsar111@gmail.com,Gangsar Saragih,DIGITAL MARKETING DAN ANALYTICS,30,DISARANKAN,LOLOS
TES-AKD-2026-07502,emilhardia220@gmail.com,Emil Hardiansyah,ADMINISTRASI BISNIS,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07504,ghaliyatih875@yahoo.com,Ghaliyati Handayani,MANAJEMEN,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07510,indraardia833@gmail.com,Indra Ardianto,TEKNIK PERTAMBANGAN,15,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-07511,onirahayu212@yahoo.com,Oni Rahayu,MANAJEMEN RISIKO,12,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-07514,dadisamosi75@gmail.com,Dadi Samosir,TEKNIK BIOENERGI,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07518,dinautami224@outlook.com,Dina Utami,TEKNIK MESIN,27,DISARANKAN,LOLOS
TES-AKD-2026-07519,tantriarya825@yahoo.com,Tantri Aryani,SUPPLY CHAIN MANAGEMENT,13,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-07522,unggulprak986@pln.co.id,Unggul Prakasa,TEKNIK ELEKTRO,11,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-07526,paramitawu109@outlook.com,Paramita Wulandari,TEKNIK GEODESI,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07532,martanihak441@yahoo.com,Martani Hakim,TEKNIK SIPIL,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07533,banarasire495@outlook.com,Banara Siregar,MANAJEMEN PEMASARAN,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07553,kemalpraka373@yahoo.com,Kemal Prakasa,MANAJEMEN KEUANGAN,15,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-07554,lasmantopu316@gmail.com,Lasmanto Putra,PUBLIC POLICY,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07556,galakirawa929@yahoo.com,Galak Irawan,TEKNIK LISTRIK,24,DISARANKAN,LOLOS
TES-AKD-2026-07559,jumariprad17@gmail.com,Jumari Pradipta,SAFETY ENGINEERING,22,DISARANKAN,LOLOS
TES-AKD-2026-07567,diahandria369@outlook.com,Diah Andriani,TEKNIK GEOLOGI,25,DISARANKAN,LOLOS
TES-AKD-2026-07572,nabilarahm241@gmail.com,Nabila Rahmawati,ENERGI BARU TERBARUKAN,22,DISARANKAN,LOLOS
TES-AKD-2026-07585,rininovita21@pln.co.id,Rini Novitasari,MANAJEMEN PEMASARAN,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07588,amelianama916@pln.co.id,Amelia Namaga,MANAJEMEN ASET,21,DISARANKAN,LOLOS
TES-AKD-2026-07590,adiarjapra849@gmail.com,Adiarja Pranowo,KONVERSI ENERGI,24,DISARANKAN,LOLOS
TES-AKD-2026-07601,gardakuswo168@yahoo.com,Garda Kuswoyo,ENERGI BARU TERBARUKAN,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07609,lembahraja497@gmail.com,Lembah Rajata,ADMINISTRASI BISNIS,22,DISARANKAN,LOLOS
TES-AKD-2026-07617,yanceyolan744@yahoo.com,Yance Yolanda,PSIKOLOGI,22,DISARANKAN,LOLOS
TES-AKD-2026-07620,larasharta126@outlook.com,Laras Hartati,TEKNIK KIMIA,14,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-07626,rikapalast578@outlook.com,Rika Palastri,DATA SCIENCE,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07645,omarsitoru414@outlook.com,Omar Sitorus,DATA SCIENCE,24,DISARANKAN,LOLOS
TES-AKD-2026-07650,padmimayas729@pln.co.id,Padmi Mayasari,ELEKTRONIKA DAN INSTRUMENTASI,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07664,dwisaputra462@yahoo.com,Dwi Saputra,KOMUNIKASI,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07665,milawidias339@pln.co.id,Mila Widiastuti,TEKNIK MESIN,17,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07666,tinautami720@pln.co.id,Tina Utami,TEKNIK GEODESI,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07667,ikinfirman903@gmail.com,Ikin Firmansyah,MANAJEMEN,13,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-07668,murtisitum718@gmail.com,Murti Situmorang,TEKNIK BIOENERGI,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07676,viktorpras565@yahoo.com,Viktor Prasasta,TEKNIK LINGKUNGAN,15,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-07679,slametnajm703@outlook.com,Slamet Najmudin,TEKNIK LINGKUNGAN,22,DISARANKAN,LOLOS
TES-AKD-2026-07683,faizahzula598@pln.co.id,Faizah Zulaika,MANAJEMEN RISIKO,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07687,fitrianiha356@gmail.com,Fitriani Hassanah,DATA SCIENCE,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07688,yunilaksmi587@pln.co.id,Yuni Laksmiwati,PROGRAM STUDI LAINNYA NON TEKNIK,13,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-07693,baktianggr626@yahoo.com,Bakti Anggriawan,ADMINISTRASI BISNIS,21,DISARANKAN,LOLOS
TES-AKD-2026-07699,dasaanggri104@outlook.com,Dasa Anggriawan,PSIKOLOGI,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07701,galangsitu563@pln.co.id,Galang Situmorang,TEKNIK INFORMATIKA,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07702,utamamanul732@gmail.com,Utama Manullang,AKUNTANSI,26,DISARANKAN,LOLOS
TES-AKD-2026-07704,adiarjafir273@outlook.com,Adiarja Firgantoro,ADMINISTRASI,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07708,sitilaksit818@outlook.com,Siti Laksita,DATA SCIENCE,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07711,waniwidias108@yahoo.com,Wani Widiastuti,TEKNIK INFORMATIKA,14,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-07714,cahyononat823@pln.co.id,Cahyono Natsir,TEKNIK SIPIL,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07717,lalitayuni412@yahoo.com,Lalita Yuniar,TEKNIK SIPIL,21,DISARANKAN,LOLOS
TES-AKD-2026-07722,luthfisala898@pln.co.id,Luthfi Salahudin,MATEMATIKA,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07723,sarahperma798@gmail.com,Sarah Permata,TEKNIK MATERIAL,20,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07729,anitapalas379@yahoo.com,Anita Palastri,MANAJEMEN,10,TIDAK DISARANKAN,TIDAK LOLOS
TES-AKD-2026-07730,jailadrian109@gmail.com,Jail Adriansyah,TEKNIK LISTRIK,19,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07733,maidasudia300@gmail.com,Maida Sudiati,MANAJEMEN ASET,16,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
TES-AKD-2026-07742,ilyasmarpa189@outlook.com,Ilyas Marpaung,MANAJEMEN PEMASARAN,18,DISARANKAN DENGAN PERTIMBANGAN,LOLOS
